date,open,high,low,close,volume,bm_ret_week
2022-09-02,2548.182,2552.341,2517.456,2533.023,8576012774.0,-0.005948947131719673
2022-09-09,2528.707,2584.853,2493.428,2548.216,39785562961.0,0.007715010082227858
2022-09-16,2566.838,2569.113,2366.895,2367.398,31443583233.0,-0.07769870946277091
2022-09-23,2360.58,2397.925,2275.292,2303.905,32670417249.0,-0.024008930008726503
2022-09-30,2288.232,2374.737,2285.636,2288.969,32137537847.0,0.00032208272587741504
2022-10-14,2294.715,2453.043,2230.637,2434.219,35773450184.0,0.06079360617767349
2022-10-21,2419.642,2469.034,2365.725,2395.157,41951049474.0,-0.010119265577304248
2022-10-28,2385.816,2412.595,2245.462,2250.51,51630601298.0,-0.05671267189087492
2022-11-04,2228.618,2464.508,2227.83,2451.223,53818424595.0,0.09988477163874654
2022-11-11,2447.13,2470.636,2344.684,2405.318,55655402990.0,-0.01708613763878497
2022-11-18,2406.869,2443.794,2350.996,2389.76,60616446711.0,-0.007108405152087549
2022-11-25,2369.763,2389.643,2302.991,2309.36,49077773262.0,-0.025489046794974768
2022-12-02,2264.83,2408.738,2261.054,2383.322,46323102459.0,0.052318275543859816
2022-12-09,2391.103,2432.106,2365.691,2420.629,50802651189.0,0.01234827608848299
2022-12-16,2409.444,2418.058,2361.893,2373.723,48124008984.0,-0.014825412003765193
2022-12-23,2372.925,2389.298,2273.038,2286.188,38475149867.0,-0.036552777689981775
2022-12-30,2290.256,2369.136,2290.159,2346.767,36079176350.0,0.02467453420054344
2023-01-06,2339.981,2442.235,2312.309,2422.141,35541915861.0,0.03511139620364423
2023-01-13,2433.346,2493.126,2427.807,2493.126,36232356147.0,0.024566995404681435
2023-01-20,2490.72,2588.89,2490.72,2585.963,36914456973.0,0.03823914370141979
2023-02-03,2657.393,2661.281,2551.826,2580.111,61334611146.0,-0.029081885893430193
2023-02-10,2560.46,2571.198,2515.51,2545.156,66332758290.0,-0.0059770509986487586
2023-02-17,2546.145,2586.181,2449.351,2449.351,71462305177.0,-0.03801590247216868
2023-02-24,2445.643,2481.572,2424.63,2428.936,54157468526.0,-0.006831332291753034
2023-03-03,2416.428,2449.445,2403.655,2422.437,56928079714.0,0.0024867283444820476
