date,open,high,low,close,open_hfq,high_hfq,low_hfq,close_hfq,close_original,adj_factor,adj_factor_hfq,volume,amount,turnover,EP,BM,EV_EBITDA,FCF_Yield,ROE,Gross_Profit,Accruals,Asset_Growth,NBIS_W,ATVR_5_20,REV1,MOM_2_20,IND_RS_5,VOL20,AMIHUD20,THEME_HEAT,RSI,MACD,stock_code,stock_name
2022-09-02,19.51,19.83,19.13,19.64,134.66,136.65,132.25,135.47,29.23,0.6719124187478618,4.634621963735888,327428,949163928.0,2.19,0.03881710081377641,0.27478435175933125,,0.023290260488265845,0.17785867902366898,0.25,,0.10049861383476147,,,,,,,,,,0.009198717948720514,300308,中际旭创
2022-09-09,19.64,20.32,19.33,19.71,135.47,139.74,133.52,135.93,29.33,0.6720081827480396,4.634503920900102,451892,1331327724.0,1.206,0.038679242008248016,0.27380845604024684,,0.023207545204948807,0.18006062149687738,0.25,,0.1029808453235235,1.2763430000000005e-07,,0.01696606786427146,,-0.0024338168074746758,,,,,0.01808371175004808,300308,中际旭创
2022-09-16,19.81,19.99,17.52,17.56,136.56,137.7,122.09,122.32,26.33,0.6669198632738321,4.645651348271933,412508,1145752686.0,1.3775,0.0434150261949071,0.30733283989483295,,0.02604901571694426,0.18179424786758622,0.25,,0.10493514795380587,2.171038e-07,0.881658291396368,0.060416666666666674,,-0.046953805498252565,0.36919962758531244,0.05478848607125393,,,-0.17739460299670284,300308,中际旭创
2022-09-23,17.68,18.35,17.34,18.11,123.09,127.31,120.96,125.81,27.1,0.6682656826568265,4.642435424354243,415781,1113123696.0,1.112,0.0420965135274748,0.2979991534264642,,0.02525790811648488,0.18389811549949206,0.25,,0.10730682048732791,4.700870000000001e-08,0.8283054003107406,0.002780867630700845,-0.06409007581034953,0.058140925001709975,0.32798191439347446,0.04698724645736444,,28.690807788254276,-0.2484030986763095,300308,中际旭创
2022-09-30,17.89,18.54,17.36,17.38,124.45,128.53,121.05,121.19,26.08,0.6664110429447853,4.646855828220859,369833,997960328.0,0.9880000000000001,0.043864663980585084,0.31051580371422705,0.61231561046538,0.02631879838835105,0.18590137612103347,0.25,-0.01908916336143407,0.10956507957242637,1.6066310000000014e-07,0.8260869564526683,0.006662965019433753,-0.061427377864959,-0.03382631522840829,0.3353529428272817,0.06324512420569534,,25.57651990863583,-0.2582517645280191,300308,中际旭创
2022-10-14,17.38,18.82,16.86,18.56,121.19,130.3,117.92,128.62,27.72,0.6695526695526696,4.6399711399711405,543034,1459485225.0,1.452,0.04107585452492288,0.29077395843498205,0.6288240711788622,0.024645512714953726,0.1877729359485908,0.25,0.006212013766523778,0.1116748734446958,3.42008e-08,1.2029826013916336,-0.0049450549450549275,-0.07312899337663736,0.0044376142992836876,0.4013662917975587,0.07633549523077432,0.004058691589266292,57.207207189168855,-0.14262722227115177,300308,中际旭创
2022-10-21,18.38,19.45,18.3,18.89,127.54,134.29,127.04,130.71,28.18,0.670333569907736,4.638396025550036,531946,1500783324.0,1.4220000000000002,0.04035827739452454,0.28569426514310564,0.6320252789356176,0.024214966436714724,0.1894837454038499,0.25,-0.008319762398459836,0.11360345475541839,-2.067087e-07,1.1435464414038161,-0.0,0.07950412374265059,0.03382720844465148,0.3153695869520829,0.062297907256468804,0.05976067007904477,62.295081946788486,0.08837657357461381,300308,中际旭创
2022-10-28,18.9,20.42,18.14,19.56,130.8,140.42,125.99,134.97,29.12,0.6717032967032966,4.634958791208791,696750,2016082384.0,1.862,0.03897586196229901,0.2759082141387151,0.6223903219701081,0.023385517177379408,0.19100725000935334,0.25,0.00782692360673022,0.11532088886237957,-5.90640999999999e-08,1.3011879803423345,-0.024390243902439046,0.06643877066529136,0.09585995009609949,0.34860619480176575,0.0664116508840002,0.029293625329536676,85.44973541808739,0.24100219803648315,300308,中际旭创
2022-11-04,19.76,20.48,18.84,20.4,136.24,140.78,130.44,140.24,30.28,0.6737120211360633,4.6314398943196835,876758,2583811984.0,2.3440000000000003,0.03737097352855729,0.26454728767417973,0.6085499206433366,0.022422584117134374,0.19231980255612705,0.25,0.010135443317092617,0.11680051846301544,1.704030000000007e-08,1.3242937852359156,-0.00605143721633894,0.13528033963559782,-0.04624077710756369,0.2852553864636736,0.04351656068505832,0.06776402012575787,78.92976584933047,0.41687451212564497,300308,中际旭创
2022-11-11,20.36,20.48,19.55,19.67,140.01,140.78,134.88,135.65,29.27,0.6720191322172874,4.634437991117185,447092,1331223678.0,1.1940000000000002,0.038757898321432054,0.27436526022131497,0.5895667109582916,0.023254738992859233,0.1934010301458872,0.25,-0.0068665951563654445,0.11801937735804839,1.3587389999999997e-07,0.7000879507065326,0.011610297829379168,0.06691811054044494,-0.017056927437094527,0.21566037305901142,0.030539009672628438,-0.0017818051922114462,64.49704139340358,0.3383199076937977,300308,中际旭创
2022-11-18,19.67,20.6,19.19,20.13,135.65,141.51,132.62,138.56,29.91,0.6730190571715146,4.6325643597459045,457553,1360686515.0,1.22,0.03787222354607892,0.26809561194998843,0.5810303533696621,0.022723334127647352,0.19423415041074915,0.25,-0.01663765312311224,0.11895854692334264,4.366654e-07,0.73716012080138,-0.00695479384003983,0.06591936867215809,0.029854034420822018,0.2478676537804354,0.03664161982701007,0.0035981224158957914,57.57575754861745,0.32137577767891656,300308,中际旭创
2022-11-25,19.98,20.19,19.15,19.17,137.61,138.92,132.34,132.53,28.58,0.6707487753673899,4.637158852344297,363496,1063870300.0,0.9720000000000001,0.03976879812115642,0.2815213702949017,0.575134558730989,0.02386127887269385,0.19480623200220726,0.25,-0.026422199833185597,0.11960344975697088,1.8945939999999997e-07,0.6785340313662456,0.003064351378958108,0.002436966853806788,-0.01404646910773577,0.20509128865017343,0.03725143739275058,-0.011178372987462196,31.271477648185595,0.11824524731588681,300308,中际旭创
2022-12-02,18.76,19.62,18.61,19.2,129.89,135.34,128.99,132.66,28.61,0.671094023068857,4.636840265641384,384418,1099478261.0,1.026,0.03970665937409212,0.281081493153816,0.5798960197915403,0.02382399562445527,0.1951083953061833,0.25,-0.010506705055613734,0.11994407594362361,4.174441e-07,0.930190389761542,0.00676730869338904,-0.05807391151416197,-0.030462109887920086,0.23059557554438656,0.04958709866043568,-0.019013036685895445,46.33431083141701,-0.048841173073672195,300308,中际旭创
2022-12-09,19.37,19.44,18.56,18.89,133.75,134.2,128.62,130.71,28.18,0.670333569907736,4.638396025550036,374990,1060163811.0,1.002,0.04035827739452454,0.28569426514310564,0.5871216293397775,0.024214966436714724,0.19513595026872685,0.25,0.011880835732955702,0.11997513842437846,2.385417e-07,0.9497630330853304,-0.0015923566878981443,-0.04112374866740498,-0.03179919448218338,0.22866914005833153,0.04619681822349296,-0.008975698161774084,30.604982191157703,-0.14380961933609981,300308,中际旭创
2022-12-16,18.83,20.09,18.43,18.79,130.35,138.29,127.85,130.12,28.05,0.6698752228163992,4.6388591800356505,408861,1172242487.0,1.094,0.04057306333063165,0.2872147242444527,0.5926314853935971,0.024343837998378987,0.19488846919309513,0.25,0.004199567165981722,0.11969615506024417,2.0674500000000007e-07,1.0688812895877988,0.010824742268041088,-0.03547202700121266,0.014083801804769536,0.20833012704558443,0.049266753576294536,0.009903336161462014,49.10394262768977,-0.10947908686516428,300308,中际旭创
2022-12-23,18.75,18.94,17.34,17.56,129.85,131.03,120.96,122.32,26.33,0.6669198632738321,4.645651348271933,265782,718312259.0,0.712,0.0434150261949071,0.30733283989483295,0.6046394636657436,0.02604901571694426,0.1943697933782847,0.25,-0.008822245512886212,0.11911145611572282,1.753411000000001e-07,0.7428273342991311,0.019889502762431066,-0.05573252522273808,-0.028583681142148043,0.21675532569376704,0.05967891977478159,-0.04390307563326871,19.928825612846808,-0.37948289441408534,300308,中际旭创
2022-12-30,17.54,18.41,17.54,18.06,122.18,127.72,122.18,125.49,27.03,0.6681465038845726,4.642619311875693,299733,806911949.0,0.8,0.04221305979969926,0.29882417876817646,0.6155983341304037,0.025327835879819557,0.19358797349597615,0.25,-0.007166550809787699,0.11823011704623347,1.6887509999999995e-07,0.8869179599903638,-0.018528916339135337,-0.07382868165517265,0.001975983273594162,0.1930882609559303,0.06043359403863255,-0.00010445287468738227,31.935483856545275,-0.3769346764759831,300308,中际旭创
