date,close_hfq,next_week_return,EP,BM,EV_EBITDA,FCF_Yield,ROE,Accruals,Asset_Growth,NBIS_W,ATVR_5_20,REV1,MOM_2_20,IND_RS_5,VOL20,AMIHUD20,THEME_HEAT,RSI,MACD,stock_code,stock_name
2022/10/14,128.62,0.016118808,0.041075855,0.29077395843498205,0.6288240711788622,0.024645512714953726,0.1877729359485908,0.006212014,0.1116748734446958,3.42008e-08,1.2029826013916336,-0.004945055,-0.073128993,0.004437614,0.4013662917975587,0.076335495,0.004058692,57.207207189168855,-0.142627222,300308,中际旭创
2022/10/21,130.71,0.032071403,0.040358277,0.28569426514310564,0.6320252789356176,0.024214966436714724,0.1894837454038499,-0.008319762,0.11360345475541839,-2.07E-07,1.1435464414038161,0,0.079504124,0.033827208,0.3153695869520829,0.062297907256468804,0.05976067,62.295081946788486,0.088376574,300308,中际旭创
2022/10/28,134.97,0.038302709,0.038975862,0.2759082141387151,0.6223903219701081,0.023385517177379408,0.19100725000935334,0.007826924,0.11532088886237957,-5.91E-08,1.3011879803423345,-0.024390244,0.066438771,0.09585995,0.34860619480176575,0.066411651,0.029293625329536676,85.44973541808739,0.24100219803648315,300308,中际旭创
2022/11/4,140.24,-0.033277202,0.037370974,0.26454728767417973,0.6085499206433366,0.022422584117134374,0.19231980255612705,0.010135443317092617,0.11680051846301544,1.704030000000007e-08,1.3242937852359156,-0.006051437,0.13528033963559782,-0.046240777,0.2852553864636736,0.043516561,0.06776402,78.92976584933047,0.41687451212564497,300308,中际旭创
2022/11/11,135.65,0.021225406,0.038757898321432054,0.27436526022131497,0.5895667109582916,0.023254738992859233,0.1934010301458872,-0.006866595,0.11801937735804839,1.3587389999999997e-07,0.7000879507065326,0.011610297829379168,0.066918111,-0.017056927,0.21566037305901142,0.030539009672628438,-0.001781805,64.49704139340358,0.3383199076937977,300308,中际旭创
2022/11/18,138.56,-0.04449441,0.037872224,0.26809561194998843,0.5810303533696621,0.022723334127647352,0.19423415041074915,-0.016637653,0.11895854692334264,4.366654e-07,0.737160121,-0.006954794,0.065919369,0.029854034420822018,0.2478676537804354,0.03664162,0.003598122,57.57575754861745,0.32137577767891656,300308,中际旭创
2022/11/25,132.53,0.000980429,0.039768798,0.2815213702949017,0.575134559,0.023861279,0.19480623200220726,-0.0264222,0.11960344975697088,1.8945939999999997e-07,0.6785340313662456,0.003064351,0.002436967,-0.014046469,0.20509128865017343,0.037251437,-0.011178373,31.271477648185595,0.11824524731588681,300308,中际旭创
2022/12/2,132.66,-0.014808335,0.039706659,0.281081493,0.5798960197915403,0.023823996,0.1951083953061833,-0.010506705,0.11994407594362361,4.174441e-07,0.93019039,0.006767309,-0.058073912,-0.03046211,0.23059557554438656,0.049587099,-0.019013037,46.33431083141701,-0.048841173,300308,中际旭创
2022/12/9,130.71,-0.004524027,0.040358277,0.28569426514310564,0.5871216293397775,0.024214966436714724,0.19513595026872685,0.011880835732955702,0.11997513842437846,2.385417e-07,0.9497630330853304,-0.001592357,-0.041123749,-0.031799194,0.22866914005833153,0.046196818,-0.008975698,30.604982191157703,-0.143809619,300308,中际旭创
2022/12/16,130.12,-0.06181654,0.040573063,0.2872147242444527,0.5926314853935971,0.024343837998378987,0.19488846919309513,0.004199567,0.11969615506024417,2.0674500000000007e-07,1.0688812895877988,0.010824742268041088,-0.035472027,0.014083801804769536,0.20833012704558443,0.049266753576294536,0.009903336,49.10394262768977,-0.109479087,300308,中际旭创
2022/12/23,122.32,0.025585513,0.043415026,0.30733283989483295,0.6046394636657436,0.026049016,0.1943697933782847,-0.008822246,0.11911145611572282,1.753411000000001e-07,0.7428273342991311,0.019889502762431066,-0.055732525,-0.028583681,0.21675532569376704,0.05967892,-0.043903076,19.928825612846808,-0.379482894,300308,中际旭创
2022/12/30,125.49,0.049059548,0.04221306,0.29882417876817646,0.6155983341304037,0.025327835879819557,0.19358797349597615,-0.007166551,0.11823011704623347,1.6887509999999995e-07,0.8869179599903638,-0.018528916,-0.073828682,0.001975983,0.1930882609559303,0.060433594,-0.000104453,31.935483856545275,-0.376934676,300308,中际旭创
2023/1/6,131.8,-0.020853255,0.039998314,0.28314610013395947,0.6171616380101995,0.023998988247090305,0.19278107589785862,-0.000728813,0.11732050807568878,3.116625e-07,1.0926620245214076,0.000519481,0.022611554,0.019747666222160065,0.27015697992088067,0.068434319,0.067619685,53.69863011638955,-0.066913915,300308,中际旭创
2023/1/13,129.08,0.04023924,0.040921517,0.28968141001359454,0.6189528378182279,0.024552910144366138,0.19155880315071194,-0.009199887,0.11594265014445845,5.568142999999998e-07,0.7901234566925773,-0.005872931,-0.021655027,-0.051867052,0.2678633527172645,0.074104734,-0.000777292,66.98412695,-0.015637012,300308,中际旭创
2023/1/20,134.38,0.083208949,0.039156028,0.2771835987957507,0.6152302465898088,0.023493616640448956,0.19011701736487738,-0.001964389,0.11431733698519438,5.877257e-07,0.9103448274720569,-0.005711319,0.084441128,0.007851379,0.23494929517461552,0.063803394,0.019265251171071883,73.89830504967533,0.12645706998128148,300308,中际旭创
2023/2/3,146.04,0.100129107,0.035775122,0.2532503363938652,0.5988217507225806,0.021465073486135206,0.18847809734357623,0.08685542,0.11246979603717468,4.5769369999999994e-07,1.7543529410113552,-0.018933732,0.10330487627577212,0.096767352,0.2644365566528932,0.054130844723980644,0.10916324035305472,85.75667652223757,0.4326754899864369,300308,中际旭创
2023/2/10,161.42,-0.04601864,0.032099699367687105,0.22723219657066385,0.5736297171483531,0.019259819620612264,0.1866674817261768,0.11381484539942957,0.11042870406758996,1.3312119999999992e-07,2.3124346916242198,-0.06690455,0.1663171054194219,0.128048101,0.36560837175184413,0.046668387,0.4147479860377644,88.05031444602668,1.149939515686448,300308,中际旭创
2023/2/17,154.16,0.043785942,0.033733091,0.23879489683864008,0.5411545413979799,0.020239854689802703,0.18471327414014543,0.019031613197856404,0.10822574206261225,1.9467020000000002e-07,1.4519702196676243,0.021765913757700206,0.27466700110951214,-0.010778959,0.4502231397755778,0.039430477,0.087165786,67.16899891,1.2633054981068348,300308,中际旭创
2023/2/24,161.06,0.015647458,0.032180999,0.2278077107873899,0.5160476744015932,0.019308599239744244,0.18264580698815316,0.007160011,0.1058951034882181,7.086429999999996e-08,0.6461287693350896,0.006126915,0.16879936813816387,0.056564949444455226,0.4822818840348916,0.033320778,-0.011741264,61.11719604758335,0.9373649480514281,300308,中际旭创
2023/3/3,163.6,-0.031291354,0.031633521,0.22393214392337202,0.49000255921285857,0.018980112696661455,0.1804971706410551,0.003158167,0.10347296355333863,1.8475599999999996e-07,0.9789519523594439,-0.02086743,0.14578685476304376,0.019982537700484526,0.49552525416053406,0.028650743507085106,0.057551513,47.37550470170584,0.9705875398619668,300308,中际旭创
2023/3/10,158.56,0.008290463,0.032719650643028696,0.23162080122546208,0.48304776335565713,0.019631790385817218,0.1783007153444137,-0.017027531,0.10099691771321395,-9.97E-09,0.7312128626098842,0.005952381,-0.003810747,-0.011696422,0.39599097519337134,0.025489913745964092,-0.015555598,50.84427766019099,0.5972263813770411,300308,中际旭创
2023/3/17,159.88,0.405381709,0.032427387,0.2295518787134524,0.48970116152190757,0.019456432,0.17609053356976728,0.021788999,0.098505398,2.6111669999999994e-07,1.041716328921664,0.007640449,-0.0112065,0.041365794,0.4142663785417437,0.027918201736399213,-0.024773227,50.21707669025994,0.21547127146089906,300308,中际旭创
2023/3/24,239.8,0.118838914,0.021077353,0.14920554792793106,0.47047100439308964,0.012646411832721622,0.17390093084537406,0.086981235,0.096037077,2.0598859999999993e-07,2.0703973272385063,-0.136842105,0.2751171891892392,0.5050500395446891,0.9455676786581629,0.028200497297247513,0.9407499485159854,84.89795917674303,2.3216292423787976,300308,中际旭创
2023/3/31,270.06,0.177985973,0.018612497,0.13175694991585124,0.4276471066249461,0.011167497948963408,0.17176589327997743,0.024471028,0.093630267,2.2088829999999994e-07,1.5512070226490269,0.010116731517509692,0.5079248168224131,0.12014439692686563,0.9838257910799826,0.025712256,0.5900566186817812,85.56785567364513,4.387227424328675,300308,中际旭创
2023/4/7,322.67,-0.057696351,0.015466988435434542,0.10949005211104212,0.3820727797422942,0.009280193,0.17011946135247824,-0.000748656,0.091774258,1.4429999999994792e-10,1.2413279737793461,0.00149413,0.7449580883739813,0.2648492176792816,1.033208595218857,0.023609117145277896,0.29289570488017763,92.82392026146333,6.257948604407716,300308,中际旭创
2023/4/14,304.58,0.160369402,0.016419726,0.11623443180170721,0.31785545231311485,0.009851835,0.1681652537664468,-0.01013581,0.089571296,1.1268959999999994e-07,0.9047768896607115,0.057608015028177806,0.8252819555522958,-0.050318413,1.0518904303800272,0.018782289689767133,0.036218846817728315,72.05503009024605,5.776493990543813,300308,中际旭创
2023/4/21,357.56,0.139606286,0.013906747,0.098445178,0.25940600144161957,0.008344048,0.1663546381490474,-0.010916118,0.087530204,9.033039999999997e-08,0.9443378118884981,-0.073060223,0.4600809116717942,0.21649116806859892,0.9284277524474153,0.011208485171774175,0.11618769634297972,73.44384302764473,6.2471532939218335,300308,中际旭创
2023/4/28,411.13,-0.137092388,0.012043726066075334,0.085256946,0.2328772553105606,0.007226236,0.16471571812774624,0.005738004,0.085682663,3.7530799999999844e-08,1.0852322799813015,0.012383345,0.4154690649528211,0.16172551381002542,1.0695279044692159,0.011514284,0.13123434841512926,68.20971866763443,6.5430108382880405,300308,中际旭创
2023/5/5,358.46,-0.032924668,0.013871322052084582,0.098194408,0.22252051433175438,0.008322793,0.16411402198281225,0.000644064,0.085004376,1.3066049999999984e-07,1.0595924644231756,0.05450237,0.3337518877720066,-0.035447878,1.045925965120813,0.010374410488861183,0.032758051,57.68141207058719,5.984278451795895,300308,中际旭创
2023/5/12,346.85,0.2084301,0.014351804593045341,0.10159572041704192,0.21557191796392394,0.008611083,0.16275753952328095,-0.011368315,0.083475225,2.0201509999999986e-07,0.8479720655271559,0.044067796610169574,0.15014880449675594,-0.026752935,1.112299145094847,0.012358414769588143,-0.055930474,50.164149702993434,3.586497871183859,300308,中际旭创
2023/5/19,427.23,-0.022559038,0.011577340318641894,0.081955424,0.20451003890082115,0.006946404,0.1616285853383947,0.020538512,0.082202564,8.665479999999994e-08,0.9491798870536544,-0.204836672,0.094552519,0.22801172423825422,1.1965619675689256,0.012854495769414073,0.13362932566102467,60.364231633220584,4.221432976708897,300308,中际旭创
2023/5/26,417.7,0.153254215,0.011849049735507749,0.083878842,0.1977854150644854,0.00710943,0.160744683,0.00512617,0.081206148,-1.99E-07,1.0692667072778215,-0.064254422,0.12707652264574543,-0.001287208,1.1450443724780153,0.011547180807888989,0.063713935,62.26829268080059,4.289526822,300308,中际旭创
2023/6/2,486.88,0.077929706,0.010124407171083248,0.071670182,0.18828094503812837,0.006074644,0.16011955084693238,-0.022170496,0.080501442,2.068021999999999e-07,0.9256341692429628,-0.005007907,0.36396809499223925,0.16854759096270966,1.0511829440908094,0.010362619164476956,0.1570201692597249,73.76128874534375,6.398461034592096,300308,中际旭创
2023/6/9,526.34,0.294899382,0.009348472,0.066177372,0.1728340900573674,0.005609083,0.1597628931501992,0.008457592,0.080099384,1.9633109999999985e-07,0.7721949376536126,0.013078734,0.40030433958145073,0.12341999567301531,0.9957592036474107,0.009040157,0.04148926,75.42302358,6.609687698480613,300308,中际旭创
2023/6/16,706.87,0.030964123,0.006921179,0.048994686051323344,0.15482059727422326,0.004152707,0.15968024539172518,-0.000526172,0.080006216,2.80386e-07,0.8584607914403423,-0.041040714,0.3548519760949158,0.2914169571214529,0.86257522,0.007937056,0.1836159628848893,89.46196660250003,10.279183220470642,300308,中际旭创
2023/6/23,729.1,-0.080615495,0.006706852,0.047477476,0.14270998435124455,0.004024111,0.1597628931501992,0.002053768,0.080099384,3.354421999999999e-07,1.018295698021785,-0.063120879,0.6453307658778549,0.21500933037857628,0.8631650430737641,0.008132012,0.31560936553940033,80.58871626961856,13.739528062157845,300308,中际旭创
2023/6/30,672.63,-0.003112043,0.00728006,0.051535186,0.12699130323978783,0.004368036,0.16011955084693238,0.0078766,0.080501442,3.4610199999999935e-08,1.147394718038055,-0.043059827,0.31154973927014484,-0.080167632,0.8426719455776867,0.006989968,-0.053272797,70.79306423963743,10.831065546295548,300308,中际旭创
2023/7/7,670.54,0.055264282,0.007303074,0.0516981,0.11757819369014753,0.004381844,0.160744683,0.00879336,0.081206148,2.398999999999997e-08,0.8777353247502997,-0.006185358,0.2829529164102377,0.017522770794204168,0.8636410933963387,0.006707469,-0.016221907,56.97230181343902,7.473432049765336,300308,中际旭创
2023/7/14,708.64,-0.175526004,0.00690363,0.048870457924053846,0.10975813624228145,0.004142178,0.1616285853383947,0.010431981307383903,0.082202564,3.4246579999999993e-07,1.033590863267827,-0.112385787,0.095911659,0.032556704,0.9234494217173683,0.006456118,0.038172225,55.70109512394285,6.245941190192383,300308,中际旭创
2023/7/21,594.56,-0.025811292,0.008254308,0.058431839,0.10981158314746019,0.004952585,0.16275753952328095,0.010240614297045482,0.083475225,7.694489999999997e-08,0.9769474676325829,0.12896825396825407,-0.053847609,-0.136215639,0.8175566255730592,0.005415295,-0.059741532,40.27491408837826,2.9728521322602717,300308,中际旭创
2023/7/28,579.41,0.097283595,0.00847452,0.059990714,0.1136643808808787,0.005084712,0.16411402198281225,-0.008296294,0.085004376,4.5870039999999997e-07,0.8981838194661862,0.008961749,-0.111759216,-0.052068469,0.7701035814607735,0.005220551,-0.087071196,38.53649217,-0.549868107,300308,中际旭创
2023/8/4,638.61,-0.136567133,0.007675102,0.054331669,0.11647223375900226,0.004605061,0.16567697795675074,0.006138006,0.086766283,2.606894999999999e-07,0.9215217790677903,0.024968394,-0.073171744,0.084407798,0.8056522285870448,0.005658399,0.027931465359357522,35.41238290953673,-0.541686451,300308,中际旭创
2023/8/11,557.09,-0.05410412,0.00882166,0.062448098,0.11923809192620988,0.005292996,0.16742214788828286,-0.022109514,0.088733599,-1.21E-07,0.8826759860033415,0.022686832740213547,-0.186514079,-0.096243708,0.6772366639105061,0.005738396,-0.011698894,41.61924469585444,-1.71137947,300308,中际旭创
2023/8/18,527.75,-0.07642381,0.00932218,0.065991253,0.12507465995195632,0.005593308,0.16932244397083626,-0.00528824,0.090875787,-1.64E-07,0.9500904543801194,-0.01038143,-0.065159417,-0.022548212,0.5321019167613963,0.005534432,-0.062378099,38.46747235654783,-3.132499927,300308,中际旭创
2023/8/25,488.92,0.047121346,0.010081563871761023,0.071366896,0.127869691,0.006048938,0.1713483705938205,0.030556051,0.093159597,-1.17E-07,1.1078972011006576,-0.017085904,-0.051208541,-0.038264682,0.7384992488079113,0.007532799,-0.02726575,23.365282214425747,-3.636310075,300308,中际旭创
2023/9/1,512.51,-0.063016458,0.00960645,0.068003587,0.1328613185483862,0.00576387,0.17346848216130717,-0.01989185,0.095549581,-2.29E-08,0.9428725120829937,0.012054061,-0.171296192,0.020120906288210394,0.6797435729269912,0.007569523,-0.039719486,40.014666339378614,-3.661702638,300308,中际旭创
2023/9/8,481.21,-0.063927748,0.010246879838475383,0.07253716,0.139353151,0.006148128,0.17564987117757663,-0.005165319,0.098008643,-6.90E-09,0.6892523364324943,0.031314433,-0.09160605,-0.038458668,0.6425024951226411,0.007318178,-0.035408758,38.037457133915794,-4.12176039,300308,中际旭创
2023/9/15,451.41,0.117416216,0.010940985361403106,0.077450698,0.14421829601512942,0.006564591,0.17785867902366898,0.009041797,0.10049861383476145,-1.04E-08,0.918431945,0.038186157517899666,-0.065039076,-0.040493352,0.6594572351765816,0.008677585,-0.029237167,30.544993661057745,-4.223780641,300308,中际旭创
2023/9/22,507.65,0.041309613,0.009700571,0.068669865,0.15225794419241717,0.005820342,0.18006062149687738,0.059948749744699464,0.10298084532352349,1.0659799999999999e-07,1.1716760060832478,-0.002333042,-0.091507687,0.12256949431423303,0.6591647958958691,0.007801755,-0.015363788,48.53178444440321,-3.971904786,300308,中际旭创
2023/9/29,529.06,-0.12233445,0.009299437,0.065830259,0.15258193116095362,0.005579662,0.18179424786758622,0.00201021,0.10493514795380587,7.621499999999958e-09,1.4134725582219922,-0.020604222,-0.009953743,0.17416051983832204,0.6620949917874125,0.008022274,0.21537817583069413,61.33373205484846,-1.39875167,300308,中际旭创
2023/10/13,468.14,-0.083843302,0.010540133554300685,0.074613088,0.15293872824672386,0.00632408,0.18389811549949206,-0.003403086,0.1073068204873279,-1.87E-08,0.926141079,0.028343210512754458,0.047552221,-0.114065262,0.6821012813540073,0.008125718,-0.031186625,54.134165364249974,-1.212686528,300308,中际旭创
